freq,gamma_real,gamma_imag,Z0_real,Z0_imag
1.000000000000000000e+09,4.121714966805259950e-01,3.358593661617530302e+01,5.318341076399750023e+01,-5.201696066168249866e-01
1.144419297974998713e+09,4.525969267124689832e-01,3.840495987557220303e+01,5.314323178248400126e+01,-4.942267246912575018e-01
1.309695529577589035e+09,4.975586685875830195e-01,4.391681548387259681e+01,5.310459388080450083e+01,-4.700952202751310094e-01
1.498840838520178556e+09,5.476081440621169971e-01,5.022121645334990347e+01,5.306734604800149668e+01,-4.476425046187785250e-01
1.715302380195521116e+09,6.033635006137649803e-01,5.743224494869439667e+01,5.303134064518499713e+01,-4.267425109549244922e-01
1.963025145758202553e+09,6.655177431493379814e-01,6.568042927579620027e+01,5.299643097328650043e+01,-4.072758723698720051e-01
2.246523859215872288e+09,7.348481740240130344e-01,7.511512362432860357e+01,5.296246759102899659e+01,-3.891300670998444899e-01
2.570965257847912788e+09,8.122273809505780040e-01,8.590723512167110698e+01,5.292929440256700246e+01,-3.721995363677840229e-01
2.942262255504420280e+09,8.986360548243049751e-01,9.825235083878500575e+01,5.289674379955550165e+01,-3.563856645940829959e-01
3.367181704902705193e+09,9.951780318233810485e-01,1.123743249915970068e+02,5.286463132582200330e+01,-3.415967123098270219e-01
3.853467722879013062e+09,1.103097937756140068e+00,1.285293967018909882e+02,5.283275009670499855e+01,-3.277476290101125067e-01
4.409982826186516762e+09,1.223801972113750081e+00,1.470109204958000078e+02,5.280086529608300339e+01,-3.147598294586465006e-01
5.046869450026174545e+09,1.358882331663489929e+00,1.681548049862379912e+02,5.276870984390500041e+01,-3.025609544373685234e-01
5.775734792970422745e+09,1.510145986867839962e+00,1.923457710839730055e+02,5.273598238044849751e+01,-2.910847039904410072e-01
6.609862357060986519e+09,1.679648454248509948e+00,2.200245589210020114e+02,5.270234939090899928e+01,-2.802707819317354909e-01
7.564454038379104614e+09,1.869733320678979904e+00,2.516962319155929890e+02,5.266745318316999658e+01,-2.700649690182569951e-01
8.656907180165958405e+09,2.083078156010549797e+00,2.879397474584089878e+02,5.263092662339099803e+01,-2.604191967312545208e-01
9.907131637760251999e+09,2.322747493205640001e+00,3.294189848953259911e+02,5.259241253658200321e+01,-2.512912991018110276e-01
1.133791263383148956e+10,2.592253659894579787e+00,3.768954450355730046e+02,5.255158000443599775e+01,-2.426438596297380013e-01
1.297532601691129875e+10,2.895627050908620159e+00,4.312428651779790130e+02,5.250812146779799860e+01,-2.344414402717419910e-01
1.484921349127036667e+10,3.237499349779040081e+00,4.934640406851190164e+02,5.246170738805950151e+01,-2.266458043887870089e-01
1.699372647916050720e+10,3.623206587821190094e+00,5.647102266457819724e+02,5.241187802752099856e+01,-2.192098930585054950e-01
1.944794852726002121e+10,4.058923291439690217e+00,6.463036288470930231e+02,5.235787629929100007e+01,-2.120732118274580025e-01
2.225660760062082672e+10,4.551842143872230295e+00,7.397636847346350351e+02,5.229847601518500255e+01,-2.051628161216310087e-01
2.547089124560750198e+10,5.110412878242390100e+00,8.468380489795699759e+02,5.223191708715950199e+01,-1.984032448329429987e-01
2.914937947809568024e+10,5.744648276841550327e+00,9.695393682227399950e+02,5.215607790347500128e+01,-1.917343810453140118e-01
3.335911239872908783e+10,6.466497248083959981e+00,1.110188993986269907e+03,5.206562289331299809e+01,-1.848513861485545084e-01
3.817681199242262268e+10,7.290280930618820321e+00,1.271468744921620100e+03,5.196014557977900239e+01,-1.778864237289284889e-01
4.369028037929182434e+10,8.233191705015750372e+00,1.456481772699150042e+03,5.183720406872949837e+01,-1.718624961612945090e-01
4.999999999999999237e+10,9.315864679575918572e+00,1.668823616709355065e+03,5.171213144256255134e+01,-1.660064776132149367e-01
